geneID,Base mean,log2(FC),STDERR,Waldstats,P-value,P-adjust,
gene-J2S48_RS21205,55.95072471,-7.664886681,0.891489507,-8.597842847,8.12E-18,3.27E-16,
gene-J2S48_RS10185,45247.29985,-6.050335097,0.528794844,-11.44174375,2.59E-30,5.03E-28,
MSTRG.1489.1,20.20192422,-5.710904902,1.050352843,-5.437129954,5.41E-08,5.11E-07,
gene-J2S48_RS15265,98.50097492,-5.70017062,0.74010251,-7.701866356,1.34E-14,3.13E-13,
gene-J2S48_RS06495,9456.162059,-5.250271422,0.915226613,-5.736580808,9.66E-09,1.05E-07,
gene-J2S48_RS06480,8674.621826,-5.124405896,0.590581314,-8.67688458,4.07E-18,1.68E-16,
gene-J2S48_RS06820,11.50706565,-4.927369979,1.092542581,-4.510002688,6.48E-06,4.05E-05,
MSTRG.190.1,2662.448032,-4.911879176,0.560761828,-8.759296604,1.96E-18,8.39E-17,
gene-J2S48_RS16660,7572.995404,-4.860208333,0.33982084,-14.30226683,2.12E-46,9.27E-44,
rna-J2S48_RS24235,65.34379207,6.108284603,0.789140169,7.740430464,9.91E-15,2.44E-13,
rna-J2S48_RS10600,112.4628434,6.485002605,0.682078276,9.507710233,1.95E-21,1.24E-19,
rna-J2S48_RS07170,905.1449099,7.331914519,0.456139264,16.07385088,3.89E-58,3.41E-55,
rna-J2S48_RS24910,63.08347603,7.355405286,0.934926506,7.867362019,3.62E-15,9.54E-14,
MSTRG.3408.1,65.70953722,7.408722021,0.927593585,7.987034558,1.38E-15,4.10E-14,
MSTRG.97.1,30902.47238,7.550129688,0.512154076,14.74191078,3.47E-49,2.02E-46,
gene-J2S48_RS20100,16788.12023,7.608681515,0.429964465,17.69607056,4.50E-70,7.87E-67,
MSTRG.1329.1,81.44013223,7.699349672,0.920238899,8.366685737,5.93E-17,2.10E-15,
rna-J2S48_RS12480,1516.024329,7.859298293,0.490129992,16.0351303,7.26E-58,5.09E-55,
gene-J2S48_RS02325,885.9506712,10.30213115,0.767334598,13.42586555,4.27E-41,1.49E-38,
